scenario,horizon_h,n,days,win_rate,avg_ret_net,expectancy,profit_factor,day_t_stat,day_avg,price_thr,vol_thr
Pup_OIdown,4,167,22,0.5209580838323353,0.011674220528493246,0.011674220528493246,1.5604346596038112,0.6997196464900668,0.0075173338225040295,3.0,4.0
Pup_OIdown,24,167,22,0.5149700598802395,0.03627260965674963,0.03627260965674963,2.023641233322327,2.4089589184727314,0.04609987799069699,3.0,4.0
Pup_OIup,1,525,22,0.4514285714285714,0.001083887280863419,0.001083887280863419,1.0594102511984451,1.24835592719589,0.004044426159696125,3.0,4.0
Pup_OIup,4,525,22,0.46476190476190476,0.009942463263458821,0.009942463263458821,1.3471364160014445,1.9319622596754054,0.016885640412022576,3.0,4.0
Pup_OIup,24,525,22,0.4095238095238095,0.04606110936326223,0.04606110936326223,1.8692179214897704,1.6039797017477926,0.04284233052638643,3.0,4.0
Pup_OIup,1,837,22,0.4432497013142174,0.002110907480029618,0.002110907480029618,1.110293664385283,1.0135608429060459,0.002501702564198431,3.5,1.5
Pup_OIup,4,837,22,0.46833930704898447,0.015968405297812363,0.015968405297812363,1.528532722838706,2.052951740929925,0.01586991948141039,3.5,1.5
Pup_OIup,24,837,22,0.4241338112305854,0.0656854739996814,0.0656854739996814,2.161054123513298,1.5593390565737708,0.04898947179579034,3.5,1.5
Pup_OIdown,1,439,22,0.43735763097949887,-0.003088798662240643,-0.003088798662240643,0.8284880501658181,-1.468415178539354,-0.004240029823563331,3.5,1.5
Pup_OIdown,4,439,22,0.4419134396355353,0.001907242958017036,0.001907242958017036,1.065138181351329,0.6213071629903587,0.003162506715708312,3.5,1.5
Pup_OIdown,24,439,22,0.4305239179954442,0.015300345304374808,0.015300345304374808,1.2679453606002842,1.794034894431964,0.03343195550839024,3.5,1.5
Pup_OIup,1,746,22,0.44638069705093836,0.0031159782929052046,0.0031159782929052046,1.1652017069013885,1.4918309045357692,0.003639684998444047,3.5,2.0
Pup_OIup,4,746,22,0.47050938337801607,0.016199081767040754,0.016199081767040754,1.5327649980254776,1.9433557968295427,0.015414971957376976,3.5,2.0
Pup_OIup,24,746,22,0.4195710455764075,0.060372606878926066,0.060372606878926066,2.082033927206678,1.4800415051683091,0.04649819647755866,3.5,2.0
Pup_OIdown,1,339,22,0.45722713864306785,-0.0021511037026883855,-0.0021511037026883855,0.8801005528400483,-1.172036173980505,-0.003984157848520894,3.5,2.0
Pup_OIdown,4,339,22,0.45722713864306785,0.0029513470076700517,0.0029513470076700517,1.1043648188312498,0.5666845364173567,0.0035696364470753335,3.5,2.0
Pup_OIdown,24,339,22,0.4306784660766962,0.01710449255190849,0.01710449255190849,1.3166846637551903,1.5060037586370572,0.027949254277123678,3.5,2.0
Pup_OIup,1,573,22,0.4397905759162304,0.0017705915156701196,0.0017705915156701196,1.0923406891897378,1.2892097209368039,0.004135373175841819,3.5,3.0
Pup_OIup,4,573,22,0.45549738219895286,0.009836152854237603,0.009836152854237603,1.3180151625910879,1.8073445754677224,0.0146872366319358,3.5,3.0
